Aaron Rodgers
Tom Brady
Dak Prescott
Deshaun Watson
Josh Allen
Russell Wilson
Lamar Jackson
Matt Ryan
Joe Burrow
Justin Herbert
Ryan Tannehill
Kyler Murray
Matthew Stafford
Ben Roethlisberger
Derek Carr
Kirk Cousins
Baker Mayfield
Jared Goff
Ryan Fitzpatrick
Cam Newton
Trevor Lawrence
Jimmy Garopollo
Carson Wentz
Jalen Hurts
Tua Tagovailoa
Drew Lock
Daniel Jones
Jameis Winston
Andy Dalton
Sam Darnold
Zach Wilson
Tyrod Taylor
Taysom Hill
Justin Fields
Gardner Minshew
Patrick Mahomes
