Cameron Brate
O.J. Howard
Blake Jarwin 
Dalton Schultz
Travis Kelce
Noah Gray
Nick Keizer
Blake Bell
Dawson Knox
Jacob Hollister
Anthony Firkser
Geoff Swaim
Irv Smith Jr.
Tyler Conklin
Noah Fant
Albert Okwuegbunam
George Kittle
Ross Dwelley
Tyler Higbee
Gerald Everett
Mike Gesicki
Will Dissly
Evan Engram
Kyle Rudolph
Drew Sample
C.J. Uzomah
Austin Hooper
David Njoku
Harrison Bryant
Robert Tonyan
Marcedes Lewis
Jared Cook
Donald Parham
Kyle Pitts
Hayden Hurst
Maxx Williams
Eric Ebron
Pat Freiermth
Logan Thomas
Jimmy Graham
Cole Kmet
Mark Andrews
Nick Boyle
Chris Manhertz
James O'Shaughnessy
Tim Tebow
Mo Alie-Cox
Jack Doyle
Hunter Henry
Jonnu Smith
Darren Waller
Adam Trautman
Taysom Hill
Chris Herndon
Dallas Goedert
Zach Ertz
T.J. Hockenson
Darren Fells
Jordan Akins
Rtan Izzo
Rob Gronkowski
